id,nl_plain,dsl_yaml,source_id,lang,variant
RE001,Use this independent CRM example: Execute CRM flow: locate contact or create if missing by phone <phone> and email <email> ; after that open opportunity '<deal_title>' with budget <budget> ; after that plan meeting at <when> [retrieval_example RE001],"dsl: v0.3
flow: api_contact_deal_meeting
vars:
  phone: +7 960 001-10-01
  email: client.pool01@example.com
  deal_title: Retrieval Pool Deal 01
  budget: 107000
  when: tomorrow
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    phone: ${phone}
    email: ${email}
- id: s2_deal
  op: deal.create
  input:
    title: ${deal_title}
    budget: ${budget}
    tags:
    - demo
- id: s3_meeting
  op: meeting.schedule
  input:
    deal:
      id: ${s2_deal.id}
    when: ${when}
",POOL01,en,EN_A
RR002,"Независимый пример для retrieval: Выполни CRM-сценарий: найди контакт или создай, если не найден by phone <phone> and email <email> ; затем создай сделку '<deal_title>' with budget <budget> ; затем запланируй встречу at <when> [retrieval_example RR002]","dsl: v0.3
flow: api_contact_deal_meeting
vars:
  phone: +7 960 001-10-01
  email: client.pool01@example.com
  deal_title: Retrieval Pool Deal 01
  budget: 107000
  when: tomorrow
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    phone: ${phone}
    email: ${email}
- id: s2_deal
  op: deal.create
  input:
    title: ${deal_title}
    budget: ${budget}
    tags:
    - demo
- id: s3_meeting
  op: meeting.schedule
  input:
    deal:
      id: ${s2_deal.id}
    when: ${when}
",POOL01,ru,RU_A
RE003,Reference CRM automation pattern: Automate this CRM request: locate contact or create if missing by phone <phone> and email <email> ; after that open opportunity '<title>' with budget <budget> ; after that add follow-up activity 'Follow up with client' due <due> [retrieval_example RE003],"dsl: v0.3
flow: api_call_task_for_new_deal
vars:
  email: client.pool02@example.com
  phone: +7 960 002-10-02
  title: Retrieval Pool Deal 02
  budget: 114000
  due: tomorrow
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
    phone: ${phone}
- id: s2_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - call
- id: s3_activity
  op: activity.create
  input:
    deal:
      id: ${s2_deal.id}
    type: Call
    summary: Follow up with client
    due: ${due}
",POOL02,en,EN_A
RR004,"Справочный CRM-пример: Собери и выполни API-сценарий в CRM: найди контакт или создай, если не найден by phone <phone> and email <email> ; затем создай сделку '<title>' with budget <budget> ; затем создай активность 'Follow up with client' due <due> [retrieval_example RR004]","dsl: v0.3
flow: api_call_task_for_new_deal
vars:
  email: client.pool02@example.com
  phone: +7 960 002-10-02
  title: Retrieval Pool Deal 02
  budget: 114000
  due: tomorrow
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
    phone: ${phone}
- id: s2_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - call
- id: s3_activity
  op: activity.create
  input:
    deal:
      id: ${s2_deal.id}
    type: Call
    summary: Follow up with client
    due: ${due}
",POOL02,ru,RU_A
RE005,Separate training example: Build an API CRM scenario: locate contact or create if missing by email <email> ; after that open opportunity '<title>' with budget <budget> ; after that change opportunity stage to <stage> with probability <probability> [retrieval_example RE005],"dsl: v0.3
flow: api_update_stage_probability
vars:
  email: client.pool03@example.com
  title: Retrieval Pool Deal 03
  budget: 121000
  stage: Qualified
  probability: 60
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
- id: s2_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - stage
- id: s3_stage
  op: deal.update_stage
  input:
    deal:
      id: ${s2_deal.id}
    stage: ${stage}
    probability: ${probability}
",POOL03,en,EN_A
RR006,"Пример из отдельного retrieval-пула: Автоматизируй следующий запрос в Odoo CRM: найди контакт или создай, если не найден by email <email> ; затем создай сделку '<title>' with budget <budget> ; затем переведи сделку в стадию <stage> с вероятностью <probability> [retrieval_example RR006]","dsl: v0.3
flow: api_update_stage_probability
vars:
  email: client.pool03@example.com
  title: Retrieval Pool Deal 03
  budget: 121000
  stage: Qualified
  probability: 60
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
- id: s2_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - stage
- id: s3_stage
  op: deal.update_stage
  input:
    deal:
      id: ${s2_deal.id}
    stage: ${stage}
    probability: ${probability}
",POOL03,ru,RU_A
RE007,Pool-only CRM task: Run this Odoo CRM plan: locate contact or create if missing by email <email> ; after that open opportunity '<title>' with budget <budget> ; after that close opportunity as lost with reason '<reason>' ; after that send email notification to <email_to> [retrieval_example RE007],"dsl: v0.3
flow: api_mark_lost_and_notify
vars:
  email: client.pool04@example.com
  title: Retrieval Pool Deal 04
  budget: 128000
  reason: Price mismatch
  email_to: audit.pool04@example.com
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
- id: s2_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - loss
- id: s3_lost
  op: deal.mark_lost
  input:
    deal:
      id: ${s2_deal.id}
    reason: ${reason}
- id: s4_notify
  op: notify.email
  input:
    to: ${email_to}
    subject: Automated notification
",POOL04,en,EN_A
RR008,"Шаблон CRM-автоматизации по API: Построй исполняемый CRM-план: найди контакт или создай, если не найден by email <email> ; затем создай сделку '<title>' with budget <budget> ; затем пометь сделку как проигранную с причиной '<reason>' ; затем отправь email-уведомление на <email_to> [retrieval_example RR008]","dsl: v0.3
flow: api_mark_lost_and_notify
vars:
  email: client.pool04@example.com
  title: Retrieval Pool Deal 04
  budget: 128000
  reason: Price mismatch
  email_to: audit.pool04@example.com
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
- id: s2_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - loss
- id: s3_lost
  op: deal.mark_lost
  input:
    deal:
      id: ${s2_deal.id}
    reason: ${reason}
- id: s4_notify
  op: notify.email
  input:
    to: ${email_to}
    subject: Automated notification
",POOL04,ru,RU_A
RE009,Use this independent CRM example: Execute CRM flow: locate contact or create if missing by email <email> ; after that update contact tags ['VIP'] ; after that open opportunity '<title>' with budget <budget> ; after that add follow-up activity 'Follow up with client' due soon [retrieval_example RE009],"dsl: v0.3
flow: api_vip_contact_with_note
vars:
  email: client.pool05@example.com
  title: Retrieval Pool Deal 05
  budget: 135000
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
- id: s2_vip
  op: contact.update
  input:
    contact_id: ${contact.id}
    tags:
    - VIP
- id: s3_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - vip
- id: s4_note
  op: activity.create
  input:
    deal:
      id: ${s3_deal.id}
    type: To Do
    summary: Follow up with client
",POOL05,en,EN_A
RR010,"Независимый пример для retrieval: Выполни CRM-сценарий: найди контакт или создай, если не найден by email <email> ; затем обнови теги контакта ['VIP'] ; затем создай сделку '<title>' with budget <budget> ; затем создай активность 'Follow up with client' due soon [retrieval_example RR010]","dsl: v0.3
flow: api_vip_contact_with_note
vars:
  email: client.pool05@example.com
  title: Retrieval Pool Deal 05
  budget: 135000
steps:
- id: s1_contact
  op: contact.find_or_create
  input:
    email: ${email}
- id: s2_vip
  op: contact.update
  input:
    contact_id: ${contact.id}
    tags:
    - VIP
- id: s3_deal
  op: deal.create
  input:
    title: ${title}
    budget: ${budget}
    tags:
    - vip
- id: s4_note
  op: activity.create
  input:
    deal:
      id: ${s3_deal.id}
    type: To Do
    summary: Follow up with client
",POOL05,ru,RU_A
